,Unnamed: 0,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0,precalibrated_AOT465,precalibrated_AOT540,precalibrated_AOT619,tau_aerosols_465_calitoo,tau_aerosols_540_calitoo,tau_aerosols_619_calitoo,tau_aerosols_465_expected,tau_aerosols_540_expected,tau_aerosols_619_expected
134,135,2024-07-15,07:23:42,27,844,2167.56632930571,2554.816149929646,1996.143742042848,01610,4648.79329N,00950.67372E,35.7,0.05517668992780053,0.05609347733938102,0.05818955010415294,1.17,0.95,2024-07-15 07:23:42,46.8132215,9.844562,0.9477137838329208,1.713675025069875,197,0.9683671367382456,0.1226,0.0963,0.0878,0.09001939524045002,0.07852104702090672,0.07736167167324656,0.08303875634895966,0.07296035438593894,0.0687899806232824
135,136,2024-07-15,07:24:16,27,844,2169.631661682371,2546.554820423002,2020.92773056278,01612,4648.79927N,00950.65515E,35.8,0.055226613079154135,0.05841350601757588,0.05130256236999864,1.45,1.0,2024-07-15 07:24:16,46.81332116666667,9.8442525,0.9459684545809268,1.7095253943319155,197,0.9683671367382456,0.1227,0.0987,0.081,0.09015389412342975,0.08089551544760533,0.07052122154844209,0.08315631071984805,0.07532132501894644,0.06192872393264673
136,137,2024-07-15,07:43:05,27,844,2241.9182948655057,2622.972118359459,2061.201711907669,01611,4648.79371N,00950.67276E,39.0,0.053570371061643945,0.05327438292901906,0.0487066321592978,1.53,0.99,2024-07-15 07:43:05,46.8132285,9.844546,0.8901179185171081,1.5890157290657494,197,0.9683671367382456,0.1237,0.0952,0.0798,0.09114650879771433,0.07746140973638847,0.06938281887638964,0.08361823433915258,0.07146447722255055,0.06013867320416591
137,138,2024-07-15,07:43:27,27,844,2249.146958183819,2628.1354493011117,2053.973048589356,01611,4648.79373N,00950.67206E,39.1,0.05207529137632902,0.052405522364184796,0.05119565878587137,1.38,0.98,2024-07-15 07:43:27,46.81322883333333,9.844534333333334,0.8883725892651138,1.5856006972472183,197,0.9683671367382456,0.122,0.0942,0.0822,0.08973235976928481,0.07664464265655722,0.07191637741799536,0.08218787107919603,0.07063479408170602,0.06265232190866032
138,139,2024-07-15,07:43:47,27,844,2232.6242991705312,2607.4821255345014,2026.091061504432,01611,4648.79172N,00950.67773E,39.1,0.05672545664590309,0.05738129418924794,0.05981550787675041,1.17,0.94,2024-07-15 07:43:47,46.81319533333333,9.844628833333331,0.8883725892651138,1.5856006972472183,197,0.9683671367382456,0.127,0.0994,0.091,0.09438252503885888,0.08162041448162037,0.0805362265088744,0.0868380363487701,0.07561056590676916,0.07127217099953936
139,140,2024-07-15,08:03:26,28,843,2260.5062862554546,2622.972118359459,2076.6917047326265,01604,4648.79149N,00950.68108E,42.4,0.06576264660046963,0.0656002073350281,0.0527298082389977,1.69,1.0,2024-07-15 08:03:26,46.8131915,9.844684666666666,0.8307767239493009,1.4830141764488962,197,0.9683671367382456,0.1388,0.1094,0.0854,0.10602461769175839,0.09151605267662476,0.07488386882203987,0.0979582440067657,0.08509047681769928,0.06497897842502973
140,141,2024-07-15,08:04:00,29,843,2255.342955313802,2619.874119794468,2039.5157219527289,01602,4648.79097N,00950.68080E,42.5,0.06780538766204483,0.06675150449321014,0.06518355157004685,1.28,0.97,2024-07-15 08:04:00,46.813182833333336,9.84468,0.8290313946973066,1.4801872329222612,197,0.9683671367382456,0.1409,0.1105,0.0979,0.10814425329479063,0.09271684535104703,0.08737992320452964,0.10006247400274701,0.08627899757160008,0.07745611589946416
141,142,2024-07-15,08:04:19,29,843,2263.604284820446,2601.2861284045184,2079.789703297618,01601,4648.79133N,00950.67932E,42.6,0.06583049111481556,0.07192489308891685,0.0522205529586153,1.71,0.97,2024-07-15 08:04:19,46.813188833333335,9.844655333333334,0.8272860654453121,1.4773755381932514,197,0.9683671367382456,0.1387,0.1156,0.0848,0.10624612840983791,0.09793965036806272,0.07445916803054131,0.09814896812924465,0.09148955027889515,0.0645164740470586
142,143,2024-07-15,08:18:44,27,843,2306.976264730328,2670.4747630226616,2082.887701862609,01619,4648.79296N,00950.68297E,44.9,0.06360253469216678,0.06158157138475245,0.05675719273725563,1.49,0.99,2024-07-15 08:18:44,46.813216,9.844716166666666,0.7871434926494426,1.4166883063990243,197,0.9683671367382456,0.1386,0.1066,0.0905,0.10574947246983998,0.08871073300953948,0.07994845207225387,0.09730545096324253,0.08198432745682059,0.06957983901277595
143,144,2024-07-15,08:19:01,28,843,2313.1722618603103,2677.703426340975,2080.8223694859485,01615,4648.79336N,00950.67821E,45.0,0.06215831320337353,0.05998640047462885,0.057694867825823004,1.42,0.98,2024-07-15 08:19:01,46.81322266666667,9.844636833333333,0.7853981633974483,1.414213562373095,197,0.9683671367382456,0.1369,0.1049,0.0914,0.1043790042565432,0.08716303564403861,0.08092670973761168,0.09592020648677427,0.08042485949853202,0.07053995255626361
