,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0
118,2024-07-11,09:30:17,27,846,2449.6360239958244,2785.4148969602456,2140.719460868557,01618,4648.79072N,00950.68252E,56.3,0.7175,0.6404,0.5472,0.94,0.99,2024-07-11 09:30:17,46.813178666666666,9.844708666666667,0.5881759579220891,1.2019893566236353,193,0.9678988946825031
119,2024-07-11,09:30:29,27,846,2448.6028582328568,2792.647057301018,2140.719460868557,01619,4648.79001N,00950.68273E,56.3,0.7181,0.6385,0.5474,0.95,0.99,2024-07-11 09:30:29,46.813166833333334,9.844712166666667,0.5881759579220891,1.2019893566236353,193,0.9678988946825031
120,2024-07-11,09:30:42,27,846,2442.403863655052,2778.1827366194734,2142.7857923944916,01619,4648.79007N,00950.68280E,56.4,0.7205,0.643,0.5468,0.96,0.98,2024-07-11 09:30:42,46.81316783333333,9.844713333333333,0.5864306286700948,1.200593706972173,193,0.9678988946825031
121,2024-07-11,10:09:10,27,846,2449.6360239958244,2789.5475600121154,2142.7857923944916,01638,4648.79012N,00950.68721E,61.0,0.7628,0.6773,0.5781,0.97,0.99,2024-07-11 10:09:10,46.81316866666667,9.844786833333334,0.5061454830783556,1.14335406787332,193,0.9678988946825031
122,2024-07-11,10:09:27,27,846,2448.6028582328568,2779.215902382441,2142.7857923944916,01628,4648.79211N,00950.68534E,61.0,0.7634,0.6808,0.5782,0.97,0.98,2024-07-11 10:09:27,46.81320183333333,9.844755666666666,0.5061454830783556,1.14335406787332,193,0.9678988946825031
123,2024-07-11,10:09:43,27,846,2458.9345158625315,2801.945549167725,2141.752626631524,01610,4648.79271N,00950.68480E,61.1,0.76,0.6738,0.5788,0.95,0.99,2024-07-11 10:09:43,46.813211833333334,9.844746666666667,0.5044001538263612,1.1422507356485725,193,0.9678988946825031
124,2024-07-11,10:09:58,27,846,2447.5696924698896,2775.083239330571,2141.752626631524,01610,4648.79287N,00950.68455E,61.1,0.7643,0.6825,0.579,0.97,0.98,2024-07-11 10:09:58,46.8132145,9.8447425,0.5044001538263612,1.1422507356485725,193,0.9678988946825031
125,2024-07-11,10:56:07,25,846,2561.217926396309,2882.5324786791857,2195.4772463058316,01603,4648.79347N,00950.67000E,64.6,0.7527,0.673,0.5771,0.93,0.99,2024-07-11 10:56:07,46.8132245,9.8445,0.4433136300065598,1.1070086687638443,193,0.9678988946825031
126,2024-07-11,10:56:29,26,845,2553.9857660555367,2870.1344895235766,2189.278251728027,0000M,4648.79262N,00950.66849E,64.6,0.7556,0.6771,0.5798,0.92,0.98,2024-07-11 10:56:29,46.81321033333333,9.844474833333333,0.4433136300065598,1.1070086687638443,193,0.9678988946825031
127,2024-07-11,10:56:48,26,845,2541.587776899927,2849.4711742642276,2198.5767435947337,0000M,4648.79345N,00950.66943E,64.6,0.7601,0.6837,0.5761,0.96,0.97,2024-07-11 10:56:48,46.813224166666664,9.8444905,0.4433136300065598,1.1070086687638443,193,0.9678988946825031
128,2024-07-15,06:34:15,24,844,1893.9097893981289,2319.3682589902933,1884.6157937031544,01603,4648.79380N,00950.68307E,27.2,0.1229,0.0979,0.0806,1.48,1.0,2024-07-15 06:34:15,46.81323,9.844717833333334,1.096066770252439,2.187715018606054,197,0.9683671367382457
129,2024-07-15,06:34:26,24,844,1895.9751217747898,2311.1069294836493,1894.9424555864593,01596,4648.79394N,00950.68081E,27.3,0.1227,0.0997,0.0783,1.57,0.99,2024-07-15 06:34:26,46.81323233333333,9.844680166666667,1.0943214410004447,2.1803139024616636,197,0.9683671367382457
130,2024-07-15,06:34:44,25,844,1907.3344498464253,2343.1195813218947,1886.6811260798154,0000M,4648.79302N,00950.68210E,27.3,0.1205,0.0938,0.0805,1.41,0.99,2024-07-15 06:34:44,46.813217,9.844701666666667,1.0943214410004447,2.1803139024616636,197,0.9683671367382457
131,2024-07-15,07:01:46,25,844,2047.7770514593726,2448.451532531605,1933.1511045546877,01612,4648.79783N,00950.65458E,32.0,0.1261,0.1004,0.0903,1.17,0.97,2024-07-15 07:01:46,46.813297166666665,9.844243,1.0122909661567112,1.8870799147998585,197,0.9683671367382457
132,2024-07-15,07:02:00,25,844,2058.1037133426776,2464.974191544893,1943.4777664379926,01613,4648.79696N,00950.65888E,32.0,0.1238,0.0971,0.0877,1.21,0.96,2024-07-15 07:02:00,46.813282666666666,9.844314666666667,1.0122909661567112,1.8870799147998585,197,0.9683671367382457
